"You added %1 to your shopping cart.","הוספת את המוצר %1 לסל הקניות שלך."
"Continue Shopping","המשך בקניות"
"Go to Cart Page","עבור לסל הקניות"
"Something went wrong while...","משהו מוזר קרה..."
